smiles,charge
CC(=O)O[C@@H](CC(=O)[O-])C[N+](C)(C)C,"[-0.3028253128, 0.0213933419, -0.0027610052, -0.3344084499, -0.0016798425, -0.2316858576, 0.0301474579, 0.0096132832, -0.6729125855, -0.0530571181, -0.3070192234, -0.1296353045, -0.1675032651, -0.1293994342, 0.1145292869, 0.0945484035, 0.0810992078, 0.1057576533, 0.1247082309, 0.1119943152, 0.145474228, 0.1546700596, 0.15717031, 0.1497104088, 0.148280495, 0.1545729567, 0.1288279783, 0.1499106167, 0.1473556954, 0.1543823166, 0.1487411533]"
CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,"[-0.2754524569, 0.3028794684, -0.3488221908, -0.2637526269, 0.0112770945, -0.1904707569, 0.3172817332, -0.371381879, -0.464094041, -0.0539997522, -0.3175281656, -0.1313126005, -0.1615117436, -0.1298197237, 0.1576669321, 0.1320123096, 0.1289871511, 0.1388398722, 0.1463178489, 0.1497947339, 0.4589350714, 0.1648437264, 0.1616446365, 0.1544667739, 0.1646087945, 0.1619153782, 0.1684251532, 0.1479319843, 0.157614137, 0.1598304707, 0.1608579778, 0.1620146895]"
O=C(O)C1=CC=C[C@@H](O)[C@@H]1O,"[-0.3784475751, 0.3087361696, -0.4767598917, -0.0361681289, -0.1701636473, -0.142273552, -0.1565877351, -0.0045220864, -0.5177229099, 0.0080672685, -0.4166617539, 0.4319109247, 0.1199555051, 0.1258917776, 0.1409700877, 0.2003558746, 0.4022408924, 0.1564064178, 0.4047723623]"
C[C@@H](O)CN,"[-0.3040253034, 0.0087157828, -0.544264413, -0.0988493215, -0.8062094682, 0.1098231173, 0.1042896789, 0.1033083729, 0.1335776317, 0.3993301531, 0.0999380113, 0.1202896483, 0.3388826577, 0.335193452]"
NCC(=O)COP(=O)(O)O,"[-0.789271044, -0.0792246336, 0.2209033648, -0.3163658613, -0.0387834882, -0.2904663797, 0.6646176071, -0.4428007681, -0.5509054992, -0.4679480073, 0.3442360668, 0.3492435589, 0.1178305003, 0.1428524449, 0.1738852401, 0.1648715766, 0.3655124705, 0.4318128513]"
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,"[-0.1367071401, 0.1082402428, -0.2190052967, 0.1128072944, -0.0880101765, -0.0955032058, 0.0526278197, 0.0204313105, 0.0304761361, 0.0940351296, -0.0974228529, -0.2299435582, -0.015416298, 0.1386644409, 0.1416703688, 0.1830557852]"
CCn1cnc2c(N)ncnc21,"[-0.2842673258, -0.0451315574, -0.2741960369, 0.1759166555, -0.3354817244, 0.0090618762, 0.259506076, -0.7587716527, -0.3816438077, 0.1361121614, -0.2862609377, 0.0618487398, 0.1226044702, 0.1185142111, 0.1178811693, 0.144847323, 0.1451706469, 0.1570978168, 0.3842743325, 0.3801095932, 0.1528079709]"
CC[C@](C)(O)[C@@H](O)C(=O)O,"[-0.31130319, -0.204164215, 0.087328933, -0.3096274668, -0.5195531766, 0.012744965, -0.5221699845, 0.3060010344, -0.3350951321, -0.4827420326, 0.0912651141, 0.1163441949, 0.1059487654, 0.1307916326, 0.1137429648, 0.0961571414, 0.1152964989, 0.1187490118, 0.3955360659, 0.1436424775, 0.4079782494, 0.4431281485]"
O=P(O)(O)O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,"[-0.5089161272, 0.4490416609, -0.5586961998, -0.5660620438, -0.2936563875, 0.0204991221, -0.0592282428, -0.478325773, 0.026053909, -0.5169459506, 0.0052169509, -0.516655551, 0.004342716, -0.5067357585, 0.0268521778, -0.5018214887, 0.4176196437, 0.4188077722, 0.26834771, 0.2570149752, 0.4146986166, 0.1587723984, 0.3953333174, 0.1476587883, 0.3929833349, 0.1436209944, 0.4100682949, 0.1455878192, 0.404523321]"
ClCCCl,"[-0.1180573907, -0.1363075977, -0.1363080046, -0.118055996, 0.1271825273, 0.1271819248, 0.1271829333, 0.1271816037]"
Oc1cc(O)c(O)c(O)c1,"[-0.5144263103, 0.1075830865, -0.0882280002, 0.1459976296, -0.5040774724, 0.1146402938, -0.4879329486, -0.0669956911, -0.4532729109, -0.1636961847, 0.42413907, 0.1400695006, 0.3434876292, 0.4198723952, 0.4536021231, 0.1292377904]"
Clc1ccc(Cl)c(Cl)c1,"[-0.0122580464, 0.0379118726, -0.1495679231, -0.0852187273, -0.0127352137, -0.0606350403, -0.0665237608, -0.0155892406, -0.0696488794, 0.1215625441, 0.1426987472, 0.1700036675]"
CCCCCC(=O)C=C[C@H]1[C@H](O)CC(=O)[C@H]1CCCCCCC(=O)O,"[-0.304044939, -0.2050535941, -0.208604677, -0.2042792575, -0.2034289501, 0.1664398983, -0.4193607783, -0.2106983403, -0.1386033494, -0.2580833176, -0.0093795861, -0.5205392035, -0.1665178559, 0.2039433623, -0.3623793459, -0.0898490441, -0.1930053951, -0.1755371768, -0.1872892467, -0.2008816256, -0.1944816681, -0.1878966885, 0.316754055, -0.3613356513, -0.4839200541, 0.0956973079, 0.0982357124, 0.0982989016, 0.1042136916, 0.1043315954, 0.0997358088, 0.0995848574, 0.1102329032, 0.1104280542, 0.1110166207, 0.1104684725, 0.096815334, 0.1448760938, 0.125613249, 0.2104058327, 0.3998120925, 0.1531647491, 0.1618799968, 0.1223005371, 0.1309225747, 0.1392666875, 0.1862698139, 0.1234600447, 0.1398957119, 0.1605738062, 0.1089401086, 0.1133996963, 0.1208209159, 0.1219339702, 0.1266113162, 0.1268961596, 0.4419298127]"
O=C1CCCCCNC(=O)CCCCCN1,"[-0.3668243516, 0.2803108566, -0.17928525, -0.2029018431, -0.1986003326, -0.1978444056, -0.0702646572, -0.5633830734, 0.2950260511, -0.4078660871, -0.1868592485, -0.1938269734, -0.1922076755, -0.1717694236, -0.1294044502, -0.6148832867, 0.1277383532, 0.1277460904, 0.1091242814, 0.1091156069, 0.1078911436, 0.107904596, 0.1100476805, 0.1100298081, 0.1250238772, 0.1250500952, 0.3848589961, 0.1222461831, 0.1220988941, 0.1180027675, 0.1182767646, 0.1102075275, 0.1098006838, 0.1307561762, 0.1261649975, 0.1067445417, 0.126912973, 0.3648421132]"
O=C(O)C1=N[C@H](C(=O)O)CC=C1,"[-0.3561689636, 0.3328007747, -0.4609625886, 0.140508764, -0.5174716325, 0.0012374465, 0.3006774947, -0.3550167311, -0.4772727474, -0.1655731826, -0.0479905264, -0.0403100607, 0.439218308, 0.1353068495, 0.4361371607, 0.1438965769, 0.1555775248, 0.1584706346, 0.1769348987]"
O=C(O)C(=O)C(=O)[C@@H](O)[C@H](O)CO,"[-0.3404281939, 0.3132883247, -0.4694263504, 0.2220927482, -0.2478281811, 0.1703525742, -0.3474256786, 0.0143902728, -0.5269851397, -0.0032162482, -0.5178314821, -0.0580311408, -0.2143146227, 0.4235042369, 0.174764121, 0.3806478687, 0.1441048982, 0.4071721589, 0.1563729337, 0.1787977841, 0.1399991158]"
O=C(O)c1cccc(O)c1O,"[-0.3388244228, 0.297291969, -0.4901171009, -0.0090107725, -0.033479669, -0.0349483651, -0.1012881071, -0.0903974401, -0.4646240933, -0.0504735512, -0.4284890778, 0.4279405807, 0.1475781858, 0.1449760438, 0.1155622249, 0.4534051471, 0.4548984485]"
