q-,q+,HOMO,LUMO,D,P,DN
1,0.104563467,0.207337278,0.501065089,0,0.035739523,0
0.861010317,0.05862647,0.286508876,0.669792899,0,0.024947391,0
0.375085234,0.472715887,0.257159763,0.672633136,0.479521488,0.008734097,0
0.690482304,0,0.285029586,0.753639053,0,0.040959902,0
0.690397929,6.24E-05,0.312721893,0.753698225,0.012618987,0.050346547,0
0.666671163,1,0,0,0.099146816,0.28678432,0.002583784
0.681388905,0.772545526,0.142011834,0.144970414,0.308450795,0.240640144,0.010981081
0.733242403,0.279081314,0.325443787,0.550295858,0.485657961,0.14818868,0.018732432
0.708249728,0.519995438,0.136094675,0.434911243,0.31623054,0.368086915,0.021316216
0.708886427,0.03103882,0.110059172,0.737514793,0.056084385,0.044323032,0.027027027
0.900740249,0.03686567,0.065621302,0.796065089,0,0.034233644,0.027027027
0.980389657,0.077337003,0.479230769,0.48739645,0,0.023692493,0.054054054
0.918003596,0.068073405,0.212721893,0.688934911,0.231348086,0.057173197,0.054054054
0.68994338,0.259504276,0.461538462,0.467455621,0.700355154,0.388291848,0.062010811
0.636963405,0.38478745,0.485207101,0.50295858,0.631904303,0.325098604,0.062010811
0.780423212,0.088905494,0.355029586,0.449704142,0.539814585,0.105654934,0.072991892
0.620190454,0.501656679,0.24260355,0.538461538,0.517770477,0.165779302,0.072991892
0.906645315,0.051387229,0.387159763,0.676153846,0.256586059,0.051501054,0.081081081
0.913183065,0.063727254,0.266094675,0.682514793,0.350527404,0.056169278,0.081081081
0.808840931,0.061239384,0.019526627,0.736775148,0.220131209,0.034334036,0.081081081
0.616873864,0.305995079,0.319526627,0.49408284,0.490729111,0.367702469,0.082422703
0.680892976,0.513429083,0.106508876,0.485207101,0.490324743,0.271496478,0.086556757
0.705600799,0.277125612,0.337278107,0.562130178,0.51070735,0.202236642,0.089140541
0.903808295,0.057013929,0.246686391,0.718727811,0.246771292,0.045477539,0.089189189
0.965137353,0.085948802,0.248402367,0.568846154,0.147221509,0.025549743,0.108108108
0.761755875,0.038883129,0.092899408,0.734911243,0.028042192,0.057424177,0.135135135
0.708633756,0.029175703,0.137928994,0.737781065,0.053280165,0.054462615,0.135135135
